keyword,1_sub,2_sub,3_sub,4_sub,5_sub,6_sub,7_sub
오디오및 비디오,0.0,-0.0628344901769537,-0.0019777200024145,-0.0456006809898014,-0.0301148229557619,0.3084903207316368,-0.0459739074574933
카메라 및 사진장비,0.0,-0.0285875254434428,0.0004722311914756,-0.0022456630402823,0.203641370869033,0.0108681912204091,-0.0221431146359048
dslr,0.0,0.0541666666666665,0.2708333333333332,-0.1625,0.1624999999999999,-0.1625,-0.1625
컴팩트카메라,0.0,-0.0928571428571428,-0.0928571428571428,0.3404761904761905,-0.0928571428571428,-0.0116071428571428,-0.0928571428571428
카메라 렌즈,0.0,-0.0246966794380587,0.0237012454932809,-0.0143518518518517,0.198046522131888,0.02436766034327,-0.0262162586315129
액션 카메라,0.0,-0.0551515151515151,-0.0667775314116778,0.0283444198078343,0.0212519936204145,-0.0186602870813398,0.0055151515151514
조명 및 전등,0.0,0.047224473858931,-0.0083718712037999,0.1409730466729616,0.1729387826118394,0.12653000473878,0.054270322678382
스위치 및 플러그,0.0,0.0673940298140916,-0.0010789144967124,0.1625425220468057,0.054662037393535,0.0196708380638934,0.0438351156824013
배터리 및 충전기,0.0,-0.0412118631648046,-0.0091056860039471,0.0924992139113939,0.0654303470779021,0.1065776700002157,0.1165515589145743
전기선 및 케이블,0.0,0.1207570860159332,0.0078427835208363,0.1255984115626223,0.1422118012773554,0.2279292876266471,0.1947835864286203
디스플레이(중),0.0,0.0242729937150859,0.0963437194983795,0.2415870835005677,0.2004210928113289,0.1841423231466366,0.1798434726809137
디스플레이제조,0.0,0.0273471329909072,0.0842402094262916,0.2981833426190446,0.2144001796100124,0.164601771381199,0.175894148908258
lcd,0.0,-0.1666594827586207,0.1114655172413793,0.1371901549225387,0.1010781932977172,0.0465845648604268,0.1420012315270936
oled,0.0,0.0831975952813067,0.1046120689655172,0.3537274071297684,0.259679709658158,0.1958776605549684,0.2225377936031984
qled,0.0,-0.0206756442999768,-0.0304277643260694,0.1872881355932203,0.1006646726487204,0.2723756150902132,-0.0287986916443652
디스플레이 기술,0.0,-0.0938218390804597,0.0722495894909689,0.1385761201032138,-0.0684430512016719,0.0753448275862069,0.0995605138607167
